Draft,Pick,First,Last,Full,Year,POS,School,Power 5,NPPG,NRPG,NAPG,NBPG,NSPG,N3PT,N3PA,WS,CPPG,CRPG,CAPG,CBPG,CSPG,C3PT
2008,16,Marreese,Speights,Marreese Speights,SO,C,Florida,P,10.4,6.2,0.9,0.7,0.5,0.3,10,4,14.5,8.1,0.9,1.4,0.4,0
2008,17,Roy,Hibbert,Roy Hibbert,SR,C,Georgetown,P,12.8,8.8,2,2.6,0.5,0.5,6,6.2,13.4,6.4,1.9,2.2,0.5,1
2008,18,JaVale,McGee,JaVale McGee,SO,C,Nevada,M,11.3,8,0.5,2.4,0.6,1,1,5.3,14.1,7.3,0.6,2.8,0.8,0.333
2008,19,JJ,Hickson,JJ Hickson,FR,PF,NC State,P,13.8,10.4,1.4,0.7,0.7,0,8,6.9,14.8,8.5,1,1.5,0.7,0
2008,21,Ryan,Anderson,Ryan Anderson,SO,PF,Cal,P,19.8,7.7,1.2,0.6,0.8,0.393,422,8.9,21.1,9.9,1.4,0.5,0.4,0.41
2008,22,Courtney,Lee,Courtney Lee,SR,SG,Western Kentucky,M,12.5,3.5,2,0.4,1.3,0.408,174,4.8,20.4,4.9,2.1,0.8,1.8,0.397
2008,23,Kosta,Koufos,Kosta Koufos,FR,C,Ohio State,B,8,6.9,0.5,1.3,0.6,0,2,6.5,14.4,6.7,0.5,1.8,0.4,0.349
2008,26,George,Hill,George Hill,JR,PG,IUPUI,M,16.1,4.2,5.1,0.3,1.4,0.427,143,9.7,21.5,6.8,4.3,0.4,1.8,0.45
2008,27,Darrell,Arthur,Darrell Arthur,SO,PF,Kansas,B,9.1,4.6,1,0.8,0.8,0.375,64,3.8,12.8,6.3,0.8,1.3,0.5,0.167
2008,28,Donte,Greene,Donte Greene,FR,SF,Syracuse,B,8.5,3.1,0.9,0.7,0.5,0.377,183,1.5,17.7,7.2,2,1.6,1.3,0.345
2008,29,DJ,White,DJ White,SR,PF,Indiana,P,5.7,3.4,0.8,0.7,0.4,1,1,1.8,17.4,10.3,0.8,1.6,0.8,0.333
2008,30,JR,Giddens,JR Giddens,SR,SG,New Mexico,M,2.2,1.6,0.4,0.1,0.3,0,10,0.1,16.3,8.8,3.1,1.2,1.4,0.333
2009,1,Blake,Griffin,Blake Griffin,SO,PF,Oklahoma,P,24.1,12.1,5.3,0.7,1.2,0.4,25,12.2,22.7,14.4,2.3,1.2,1.1,0.375
2009,2,Hasheem,Thabeet,Hasheem Thabeet,JR,C,Connecticut,B,3.1,1.3,0.2,1.3,0.5,0,0,2.2,13.6,10.8,0.5,4.2,0.6,0
2009,3,James,Harden,James Harden,SO,SG,Arizona State,P,28.1,6.1,6.7,0.7,1.9,0.375,555,16.4,20.1,5.6,4.2,0.3,1.7,0.356
2009,4,Tyreke,Evans,Tyreke Evans,FR,PG,Memphis,M,20.1,5.3,6.6,0.5,1.5,0.338,133,5.4,17.1,5.4,3.9,0.8,2.1,0.274
2009,6,Jonny,Flynn,Jonny Flynn,SO,PG,Syracuse,B,13.5,2.4,4.4,0.1,1,0.358,215,0.1,17.4,2.7,6.7,0.2,1.4,0.317
2009,7,Stephen,Curry,Stephen Curry,JR,PG,Davidson,M,29.5,5.2,8.5,0.3,2.1,0.453,600,15.7,28.6,4.4,5.6,0.2,2.5,0.387
2009,8,Jordan,Hill,Jordan Hill,JR,PF,Arizona,P,12,7.9,1.5,0.9,0.6,0.273,11,4.4,18.3,11,1.5,1.7,0.9,0
